PFE_Close,JNJ_Close,MRK_Close,NVS_Close
38.624287,129.5,63.416031,73.60215
39.051231,130.429993,64.284348,73.324371
39.297913,132.479996,65.696564,73.64695
39.933586,134.470001,65.89695,74.4086
40.161289,136.880005,66.956108,74.87455
40,135.350006,66.001907,75.098564
39.914612,134.610001,65.877861,74.991035
40.037952,135.110001,65.811066,74.919357
40.227703,135.949997,65.877861,75.0448
39.449715,134.919998,65.830154,75.3405
39.373814,134.320007,65.486641,75.098564
39.373814,134.860001,65.658394,74.973122
39.373814,134.949997,65.400764,74.811829
39.392788,134.690002,65.448471,74.381721
39.250473,133.720001,64.837784,73.978493
39.705883,135.860001,65.477097,73.566307
39.639469,136.869995,66.202293,73.064514
40.037952,137.320007,66.479012,73.279572
39.905125,137.210007,66.374046,73.951614
40.142315,138.509995,65.916031,75.241936
40.23719,139.360001,66.660301,75.654121
40.654648,139.889999,67.585876,76.433693
40.759014,139.490005,66.774811,76.362007
40.806454,139.960007,67.194656,76.281364
41.280834,140.539993,67.194656,76.191757
41.043644,140.460007,66.774811,76.075272
41.508537,141.979996,67.53817,77.03405
41.802658,142.880005,67.843513,76.577065
41.679317,140.470001,67.53817,76.424728
41.54649,138.639999,67.414124,76.971329
41.442123,138.160004,67.10878,77.428314
41.650852,138.220001,67.480919,77.1595
41.812145,138.169998,67.690842,77.2043
42.0019,139.690002,68.253815,77.356628
41.95446,140.479996,68.463737,77.365593
42.514233,139.029999,68.101143,78.360214
42.409866,139.350006,67.958015,76.926521
42.609108,139.100006,67.776718,76.621864
42.960152,139.389999,68.187019,76.39785
43.140415,139.199997,69.026718,76.236557
42.229603,137.729996,67.223282,75.618279
40.616699,133.839996,65.238548,73.655914
41.537003,133.869995,66.612595,74.175629
40.910816,133.949997,66.278625,74.507172
41.679317,136.559998,67.958015,76.810036
42.28653,139.460007,68.530533,76.415771
41.745731,139.5,68.902672,77.275986
42.220116,139.050003,69.036263,78.127243
42.096775,138.679993,69.246185,78.046593
41.840607,138.929993,68.797707,78.862007
40.303604,137.470001,67.309158,75.492828
41.185959,138.470001,66.755722,76.827957
40.417458,136.970001,67.175575,76.424728
41.015179,137.550003,68.177483,77.141579
40.6926,140.75,69.53244,77.62545
40.853889,139.990005,70.238548,78.369179
41.432636,140.820007,69.770988,79.032257
40.730549,140.679993,68.959923,78.1362
41.290321,142.199997,69.770988,79.9552
40.806454,142.570007,69.952293,78.781364
42.125237,144.75,71.64122,79.6595
41.603416,145.300003,72.022903,79.964157
42.011387,145.339996,71.431297,79.946236
41.850094,145.619995,71.269081,79.059143
41.290321,144.679993,71.192749,79.130821
40.711575,144.25,70.696564,78.252686
40.996204,144.5,71.412216,78.172043
41.280834,145.990005,72.57634,78.629028
41.916508,147.729996,72.85305,79.130821
41.299809,146.449997,71.354965,77.912186
40.891842,141.990005,71.364502,79.775986
40.92979,142.229996,71.25,78.879929
41.119545,141.369995,71.984734,79.749107
41.812145,143.220001,72.843513,79.650536
42.599621,146.440002,73.692749,80.456985
43.178368,145.850006,74.341606,81.586021
43.861481,146.899994,75.706108,82.016129
43.633778,146.210007,75.591606,81.998207
42.827324,146.029999,74.627861,81.335129
42.675522,145.910004,74.780533,79.793907
41.66983,145.429993,73.206108,78.028671
42.125237,145.259995,73.874046,77.867386
41.755219,146.5,73.578247,78.154121
41.897533,147.100006,74.437019,78.969536
42.28653,147.839996,75.39122,79.211472
41.555977,133,72.977097,78.30645
40.901329,129.139999,71.784348,76.845879
40.227703,130.419998,70.925575,76.514336
39.819733,127.610001,70.39122,75.672043
39.800758,128.270004,70.124046,75.474907
39.781784,128.089996,69.561066,74.686378
38.472485,122.839996,67.89122,73.915771
40.028461,126.709999,70.610687,75.958778
40.654648,127.410004,71.927483,75.331543
40.759014,127.269997,71.917938,76.39785
41.413662,129.050003,72.910301,76.890678
41.034157,127.75,72.127861,75.322578
39.886147,125.720001,70.648857,75.9319
40.796963,127.830002,72.776718,76.962364
41.015179,127.010002,71.975189,76.05735
41.204933,129.960007,72.509544,77.706093
41.119545,128.929993,71.956108,77.92115
40.142315,129.710007,71.068703,78.951614
40.683113,129.75,71.469467,78.64695
40.199242,128.279999,70.009544,77.7957
40.540798,129.360001,71.087784,78.736557
39.95256,128.039993,71.192749,78.808243
40.294117,129.089996,72.137405,79.417564
40.351044,130.690002,72.395035,79.740143
40.104362,128.800003,72.356873,79.139786
40,128.800003,71.984734,78.987457
38.851994,127.029999,69.818703,77.419357
38.557877,128.229996,69.60878,77.016129
37.504745,128.990005,69.580154,76.747314
38.681213,130.330002,69.875954,77.589607
39.449715,131.639999,70.009544,76.765236
40.275143,133.080002,71.020988,78.422935
40.683113,134.199997,72.948471,78.548386
40.265656,132.880005,73.349236,79.19355
39.95256,132.880005,73.616409,79.7043
40.161289,133,73.845421,79.749107
39.563568,132.050003,73.301529,79.139786
40.066414,132.399994,73.969467,79.614693
39.544594,132,73.196564,78.960571
39.724857,134.160004,74.92366,79.614693
39.563568,134.449997,75.400764,79.596771
39.819733,134.309998,75.324425,79.767029
40.227703,136.380005,76.154579,80.537636
40.417458,135.690002,75.610687,80.618279
40.037952,136.350006,75.791985,81.308243
39.981026,135.419998,76.17366,81.10215
40.759014,136.600006,77.07061,81.344086
40.872864,136.199997,76.698471,81.630821
40.815941,136.110001,77.041985,81.980286
40.730549,135.869995,76.927483,81.801079
41.129032,136.639999,77.566795,81.747314
41.138519,138.350006,77.910301,81.899643
40.863377,138.479996,77.643127,79.982079
40.6926,138.770004,77.958015,80.46595
39.71537,139.089996,77.061066,80.474907
39.269451,138.240005,76.765266,80.134407
38.795067,138.059998,76.145035,80.358421
39.373814,138.559998,77.166031,80.707886
39.59203,139.179993,77.509544,80.707886
